-0,33.152
-0,33.154
-0.01,33.162
-0,33.188
-0,33.214
0.02,33.241
-0,33.265
0.04,33.291
0.01,33.316
-0.01,33.341
-0.01,33.368
0.03,33.394
0.02,33.419
0.01,33.444
0.01,33.47
0.01,33.496
0.02,33.522
0.01,33.548
-0,33.573
0.05,33.6
0.01,33.625
0.02,33.65
0.01,33.675
-0.01,33.699
-0.01,33.726
0.01,33.752
0.02,33.777
0.01,33.802
0.01,33.826
0.01,33.853
-0.01,33.878
-0,33.903
0.01,33.93
-0.01,33.954
0.01,33.981
-0,34.007
0.01,34.032
0.01,34.058
0.02,34.083
-0.01,34.109
-0,34.135
0.01,34.16
0.01,34.186
-0,34.21
0.01,34.236
-0.01,34.262
0.02,34.288
0.01,34.314
-0.01,34.338
-0,34.365
-0,34.392
0.02,34.418
-0,34.444
-0.01,34.469
0.01,34.496
-0,34.523
0.01,34.549
-0.02,34.575
-0,34.601
0.01,34.628
-0.01,34.654
-0,34.68
-0.02,34.708
-0.01,34.735
-0.01,34.76
0.01,34.788
-0,34.812
0.01,34.839
-0,34.865
0.01,34.89
0.03,34.917
0.01,34.941
0.04,34.967
-0,34.993
-0.01,35.018
-0.01,35.045
0.01,35.07
-0.01,35.095
-0.01,35.122
0.03,35.147
-0,35.173
-0.01,35.2
0.01,35.225
-0,35.251
0.01,35.276
0.05,35.302
-0,35.328
0.02,35.354
0.01,35.38
-0,35.405
0.02,35.432
-0.01,35.458
0.04,35.484
-0.01,35.51
0.01,35.535
0.01,35.561
0.01,35.587
-0,35.612
0.01,35.64
-0.01,35.665
