Time Diff, Data, meas
4409,1446,RPM
4409,0,TPS
4410,108,MAP
4427,9,REVCNT
4430,1800,RPM
4430,0,TPS
4431,109,MAP
4451,479,ACC1X
4454,586,ACC1Y
4454,666,ACC1Z
4455,0,CHIP1T
4475,10,REVCNT
4478,1901,RPM
4478,0,TPS
4480,109,MAP
4497,11,REVCNT
4500,2164,RPM
4500,0,TPS
4501,109,MAP
4524,13,REVCNT
4527,2717,RPM
4527,0,TPS
4528,109,MAP
4545,14,REVCNT
4548,2937,RPM
4549,0,TPS
4549,108,MAP
4569,524,ACC1X
4572,760,ACC1Y
4573,611,ACC1Z
4574,0,CHIP1T
4590,15,REVCNT
4592,3074,RPM
4593,0,TPS
4594,109,MAP
4611,16,REVCNT
4614,3168,RPM
4615,0,TPS
4615,109,MAP
4637,19,REVCNT
4640,3431,RPM
4640,0,TPS
4641,109,MAP
4659,21,REVCNT
4662,3598,RPM
4663,0,TPS
4669,109,MAP
4688,511,ACC1X
4691,544,ACC1Y
4692,450,ACC1Z
4692,0,CHIP1T
4709,22,REVCNT
4712,3605,RPM
4713,0,TPS
4713,109,MAP
4730,24,REVCNT
4733,3611,RPM
4734,0,TPS
4734,108,MAP
4756,27,REVCNT
4759,3593,RPM
4760,0,TPS
4761,109,MAP
4779,28,REVCNT
4782,3577,RPM
4782,0,TPS
4783,109,MAP
4802,529,ACC1X
4805,453,ACC1Y
4805,574,ACC1Z
4806,0,CHIP1T
4823,30,REVCNT
4826,3526,RPM
4826,0,TPS
4827,109,MAP
4844,31,REVCNT
4847,3529,RPM
4847,0,TPS
4848,109,MAP
4871,33,REVCNT
4874,3494,RPM
4878,0,TPS
4879,109,MAP
4896,34,REVCNT
4899,3432,RPM
4899,0,TPS
4900,109,MAP
4920,491,ACC1X
4923,618,ACC1Y
4923,616,ACC1Z
4924,0,CHIP1T
4940,36,REVCNT
4943,3410,RPM
4943,0,TPS
4944,108,MAP
4962,38,REVCNT
4965,3308,RPM
4965,0,TPS
4966,109,MAP
4988,40,REVCNT
4992,3244,RPM
4992,0,TPS
4993,108,MAP
5010,41,REVCNT
5013,3245,RPM
5014,0,TPS
5014,109,MAP
5033,475,ACC1X
5037,476,ACC1Y
5038,549,ACC1Z
5038,0,CHIP1T
5054,42,REVCNT
5057,3229,RPM
5058,0,TPS
5058,109,MAP
5075,43,REVCNT
5085,3194,RPM
5086,0,TPS
5086,109,MAP
5108,46,REVCNT
5111,3307,RPM
5111,0,TPS
5112,108,MAP
5130,47,REVCNT
5133,3283,RPM
5134,0,TPS
5134,109,MAP
5153,533,ACC1X
5156,447,ACC1Y
5157,567,ACC1Z
5157,0,CHIP1T
5174,49,REVCNT
5177,3247,RPM
5178,0,TPS
5178,109,MAP
5196,50,REVCNT
5198,3249,RPM
5199,0,TPS
5200,109,MAP
5222,53,REVCNT
5225,3298,RPM
5225,0,TPS
5226,109,MAP
5243,54,REVCNT
5246,3302,RPM
5248,0,TPS
5248,109,MAP
5267,491,ACC1X
5270,576,ACC1Y
5271,621,ACC1Z
5271,0,CHIP1T
5287,55,REVCNT
5288,3311,RPM
5288,0,TPS
5289,109,MAP
5307,0,DTPS+
5310,0,DTPS-
5311,0,DECAYINJ(+) - DECAYINJ(-)
5311,0,DECAYIGN(+) - DECAYIGN(-)
5332,59,REVCNT
5336,3281,RPM
5337,0,TPS
5337,109,MAP
5355,60,REVCNT
5358,3298,RPM
5358,0,TPS
5359,109,MAP
5391,559,ACC1X
5394,424,ACC1Y
5394,609,ACC1Z
5395,0,CHIP1T
5411,61,REVCNT
5414,3276,RPM
5414,0,TPS
5415,109,MAP
5433,63,REVCNT
5436,3225,RPM
5437,0,TPS
5437,109,MAP
5459,65,REVCNT
5463,3160,RPM
5464,0,TPS
5464,109,MAP
5482,67,REVCNT
5488,3123,RPM
5489,0,TPS
5489,109,MAP
5510,483,ACC1X
5513,571,ACC1Y
5513,548,ACC1Z
5514,0,CHIP1T
5530,68,REVCNT
5533,3063,RPM
5534,0,TPS
5534,109,MAP
5552,69,REVCNT
5555,3051,RPM
5556,0,TPS
5556,109,MAP
5578,71,REVCNT
5581,2944,RPM
5581,0,TPS
5582,109,MAP
5601,73,REVCNT
5603,3001,RPM
5604,0,TPS
5605,109,MAP
5624,525,ACC1X
5627,428,ACC1Y
5627,570,ACC1Z
5628,0,CHIP1T
5645,74,REVCNT
5648,2990,RPM
5649,0,TPS
5649,108,MAP
5667,75,REVCNT
5670,2984,RPM
5670,0,TPS
5671,109,MAP
5699,77,REVCNT
5702,2968,RPM
5703,0,TPS
5703,109,MAP
5722,79,REVCNT
5725,2921,RPM
5725,0,TPS
5726,108,MAP
5745,472,ACC1X
5748,507,ACC1Y
5749,657,ACC1Z
5749,0,CHIP1T
5766,80,REVCNT
5769,2903,RPM
5770,0,TPS
5770,109,MAP
5788,81,REVCNT
5791,2896,RPM
5791,0,TPS
5792,108,MAP
5815,83,REVCNT
5818,2900,RPM
5818,0,TPS
5819,109,MAP
5836,84,REVCNT
5839,2850,RPM
5840,0,TPS
5840,109,MAP
5861,481,ACC1X
5864,499,ACC1Y
5864,600,ACC1Z
5865,0,CHIP1T
5881,85,REVCNT
5884,2848,RPM
5885,0,TPS
5890,109,MAP
5907,86,REVCNT
5910,2831,RPM
5911,0,TPS
5911,109,MAP
5934,89,REVCNT
5937,2762,RPM
5938,0,TPS
5938,109,MAP
5956,90,REVCNT
5959,2706,RPM
5959,0,TPS
5960,109,MAP
5980,499,ACC1X
5983,564,ACC1Y
5984,539,ACC1Z
5984,0,CHIP1T
6000,91,REVCNT
6003,2616,RPM
6004,0,TPS
6004,109,MAP
6023,92,REVCNT
6026,2595,RPM
6026,0,TPS
6027,109,MAP
6048,94,REVCNT
6051,2531,RPM
6052,0,TPS
6053,109,MAP
6071,95,REVCNT
6074,2518,RPM
6075,0,TPS
6075,109,MAP
6094,486,ACC1X
6097,525,ACC1Y
6098,683,ACC1Z
6106,0,CHIP1T
6122,96,REVCNT
6125,2546,RPM
6125,0,TPS
6126,109,MAP
6144,97,REVCNT
6147,2462,RPM
6148,0,TPS
6148,109,MAP
6170,99,REVCNT
6173,2362,RPM
6173,0,TPS
6174,109,MAP
6192,100,REVCNT
6195,2376,RPM
6196,0,TPS
6197,109,MAP
6216,507,ACC1X
6219,458,ACC1Y
6220,570,ACC1Z
6221,0,CHIP1T
6238,101,REVCNT
6241,2415,RPM
6241,0,TPS
6242,108,MAP
6259,102,REVCNT
6262,2378,RPM
6263,0,TPS
6264,109,MAP
6286,103,REVCNT
6289,2418,RPM
6290,0,TPS
6290,109,MAP
6308,105,REVCNT
6311,2494,RPM
6316,0,TPS
6316,109,MAP
6336,526,ACC1X
6339,470,ACC1Y
6339,641,ACC1Z
6340,0,CHIP1T
6356,105,REVCNT
6360,2494,RPM
6361,0,TPS
6361,108,MAP
6378,107,REVCNT
6381,2531,RPM
6382,0,TPS
6383,109,MAP
6405,108,REVCNT
6408,2516,RPM
6409,0,TPS
6409,109,MAP
6427,109,REVCNT
6430,2428,RPM
6430,0,TPS
6431,109,MAP
6451,528,ACC1X
6454,761,ACC1Y
6455,562,ACC1Z
6455,0,CHIP1T
6471,110,REVCNT
6475,2379,RPM
6475,0,TPS
6476,109,MAP
6494,111,REVCNT
6497,2324,RPM
6498,0,TPS
6498,108,MAP
6526,113,REVCNT
6530,2346,RPM
6530,0,TPS
6531,109,MAP
6548,114,REVCNT
6551,2432,RPM
6552,0,TPS
6552,109,MAP
6573,518,ACC1X
6576,483,ACC1Y
6576,638,ACC1Z
6577,0,CHIP1T
6593,115,REVCNT
6596,2467,RPM
6597,0,TPS
6597,109,MAP
6615,116,REVCNT
6618,2390,RPM
6619,0,TPS
6619,109,MAP
6641,118,REVCNT
6644,2270,RPM
6645,0,TPS
6645,108,MAP
6664,118,REVCNT
6667,2270,RPM
6667,0,TPS
6668,108,MAP
6687,523,ACC1X
6690,492,ACC1Y
6691,610,ACC1Z
6691,0,CHIP1T
6709,120,REVCNT
6712,2379,RPM
6712,0,TPS
6716,109,MAP
6734,120,REVCNT
6737,2379,RPM
6737,0,TPS
6738,109,MAP
6761,122,REVCNT
6764,2280,RPM
6764,0,TPS
6765,109,MAP
6782,123,REVCNT
6786,2256,RPM
6787,0,TPS
6788,109,MAP
6807,492,ACC1X
6810,474,ACC1Y
6810,544,ACC1Z
6811,0,CHIP1T
6828,124,REVCNT
6831,2265,RPM
6832,0,TPS
6832,109,MAP
6849,125,REVCNT
6852,2306,RPM
6853,0,TPS
6853,108,MAP
6876,127,REVCNT
6879,2216,RPM
6880,0,TPS
6880,108,MAP
6898,128,REVCNT
6901,2292,RPM
6901,0,TPS
6902,109,MAP
6922,473,ACC1X
6925,544,ACC1Y
6931,611,ACC1Z
6932,0,CHIP1T
6948,128,REVCNT
6951,2292,RPM
6951,0,TPS
6952,109,MAP
6970,129,REVCNT
6973,2258,RPM
6974,0,TPS
6974,109,MAP
6996,131,REVCNT
7000,2298,RPM
7000,0,TPS
7001,109,MAP
7018,132,REVCNT
7021,2329,RPM
7022,0,TPS
7022,109,MAP
7042,518,ACC1X
7045,496,ACC1Y
7046,605,ACC1Z
7047,0,CHIP1T
7063,133,REVCNT
7066,2248,RPM
7066,0,TPS
7067,109,MAP
7085,134,REVCNT
7088,2250,RPM
7089,0,TPS
7089,109,MAP
7111,136,REVCNT
7114,2311,RPM
7115,0,TPS
7116,109,MAP
7134,136,REVCNT
7141,2311,RPM
7142,0,TPS
7142,109,MAP
7161,522,ACC1X
7164,488,ACC1Y
7165,668,ACC1Z
7165,0,CHIP1T
7182,137,REVCNT
7185,2292,RPM
7186,0,TPS
7186,109,MAP
7204,139,REVCNT
7207,2207,RPM
7207,0,TPS
7208,109,MAP
7230,140,REVCNT
7233,2388,RPM
7234,0,TPS
7235,108,MAP
7252,141,REVCNT
7256,2423,RPM
7257,0,TPS
7257,109,MAP
7276,534,ACC1X
7279,462,ACC1Y
7280,586,ACC1Z
7280,0,CHIP1T
7297,142,REVCNT
7300,2337,RPM
7301,0,TPS
