Time Diff, Data, meas

2497,494,ACC1X
2500,520,ACC1Y
2501,605,ACC1Z
2501,0,CHIP1T
2522,0,REVCNT
2525,0,RPM
2526,0,TPS
2526,109,MAP
2547,42,TH2O
2550,15,TAIR
2551,0,TOIL
2551,165,VBB1
2552,164,VBB2
2552,164,VBB3
2553,995,BAR0
2579,0,REVCNT
2582,0,RPM
2582,0,TPS
2583,109,MAP
2628,0,REVCNT
2631,0,RPM
2631,0,TPS
2632,109,MAP
2655,495,ACC1X
2658,520,ACC1Y
2659,605,ACC1Z
2660,0,CHIP1T
2678,0,REVCNT
2681,0,RPM
2682,0,TPS
2682,109,MAP
2700,0,REVCNT
2703,0,RPM
2704,0,TPS
2704,109,MAP
2732,0,REVCNT
2735,0,RPM
2736,0,TPS
2736,109,MAP
2753,0,REVCNT
2756,0,RPM
2757,0,TPS
2757,109,MAP
2777,495,ACC1X
2780,520,ACC1Y
2781,605,ACC1Z
2781,0,CHIP1T
2797,0,REVCNT
2800,0,RPM
2801,0,TPS
2801,109,MAP
2819,0,REVCNT
2822,0,RPM
2823,0,TPS
2823,109,MAP
2844,0,REVCNT
2847,0,RPM
2848,0,TPS
2848,109,MAP
2867,0,REVCNT
2870,0,RPM
2870,0,TPS
2871,109,MAP
2890,494,ACC1X
2893,520,ACC1Y
2893,603,ACC1Z
2894,0,CHIP1T
2911,0,REVCNT
2914,0,RPM
2914,0,TPS
2915,109,MAP
2932,0,REVCNT
2938,0,RPM
2939,0,TPS
2939,109,MAP
2962,0,REVCNT
2965,0,RPM
2966,0,TPS
2966,109,MAP
2984,0,REVCNT
2988,0,RPM
2988,0,TPS
2989,109,MAP
3008,495,ACC1X
3011,520,ACC1Y
3011,604,ACC1Z
3012,0,CHIP1T
3028,0,REVCNT
3032,0,RPM
3032,0,TPS
3033,109,MAP
3050,0,REVCNT
3053,0,RPM
3053,0,TPS
3054,109,MAP
3077,0,REVCNT
3080,0,RPM
3080,0,TPS
3081,109,MAP
3098,0,REVCNT
3101,0,RPM
3101,0,TPS
3102,109,MAP
3122,495,ACC1X
3125,520,ACC1Y
3125,605,ACC1Z
3126,0,CHIP1T
3142,0,REVCNT
3145,0,RPM
3151,0,TPS
3151,109,MAP
3170,0,REVCNT
3173,0,RPM
3173,0,TPS
3173,109,MAP
3195,0,REVCNT
3198,0,RPM
3198,0,TPS
3200,109,MAP
3217,0,REVCNT
3220,0,RPM
3220,0,TPS
3221,109,MAP
3240,496,ACC1X
3244,520,ACC1Y
3245,604,ACC1Z
3246,0,CHIP1T
3262,0,REVCNT
3265,0,RPM
3265,0,TPS
3266,109,MAP
3283,0,REVCNT
3287,0,RPM
3287,0,TPS
3288,109,MAP
3309,0,REVCNT
3312,0,RPM
3312,0,TPS
3313,109,MAP
3331,0,REVCNT
3334,0,RPM
3335,0,TPS
3335,109,MAP
3354,494,ACC1X
3357,519,ACC1Y
3358,605,ACC1Z
3358,0,CHIP1T
3379,0,REVCNT
3382,0,RPM
3382,0,TPS
3383,109,MAP
3400,0,REVCNT
3403,0,RPM
3403,0,TPS
3404,109,MAP
3427,0,REVCNT
3429,0,RPM
3430,0,TPS
3431,109,MAP
3448,0,REVCNT
3451,0,RPM
3451,0,TPS
3452,109,MAP
3472,494,ACC1X
3475,520,ACC1Y
3475,604,ACC1Z
3476,0,CHIP1T
3492,0,REVCNT
3495,0,RPM
3495,0,TPS
3496,109,MAP
3514,0,REVCNT
3517,0,RPM
3517,0,TPS
3518,109,MAP
3539,0,REVCNT
3543,0,RPM
3543,0,TPS
3544,109,MAP
3561,0,REVCNT
3564,0,RPM
3565,0,TPS
3565,109,MAP
3585,494,ACC1X
3594,520,ACC1Y
3594,604,ACC1Z
3595,0,CHIP1T
3611,0,REVCNT
3613,0,RPM
3614,0,TPS
3614,109,MAP
3828,493,ACC1X
3831,520,ACC1Y
3831,605,ACC1Z
3832,0,CHIP1T
3854,42,TH2O
3857,15,TAIR
3858,0,TOIL
3858,0,VBB1
3859,165,VBB2
3859,166,VBB3
3860,995,BAR0
3877,98,LAMBDA1 AVG
3880,98,LAMBDA1 RAW
3881,59,LAMBDA2 AVG
3881,59,LAMBDA2 RAW
3883,656,KLAMBDA1
3883,656,KLAMBDA2
3905,0,REVCNT
3908,0,RPM
3908,0,TPS
3909,109,MAP
3927,0,REVCNT
3930,0,RPM
3931,0,TPS
3931,109,MAP
3950,494,ACC1X
3953,521,ACC1Y
3957,604,ACC1Z
3958,0,CHIP1T
3975,0,REVCNT
3978,0,RPM
3978,0,TPS
3979,109,MAP
3996,0,REVCNT
3999,0,RPM
3999,0,TPS
4000,109,MAP
14018,494,ACC1X
14021,520,ACC1Y
14022,604,ACC1Z
14022,0,CHIP1T
