Time Diff, Data, meas
5837,109,MAP
5855,0,REVCNT
5858,0,RPM
5859,0,TPS
5859,109,MAP
5878,494,ACC1X
5881,520,ACC1Y
5881,603,ACC1Z
5882,0,CHIP1T
5899,0,REVCNT
5902,0,RPM
5902,0,TPS
5903,109,MAP
5920,0,REVCNT
5928,0,RPM
5929,0,TPS
5929,109,MAP
5971,0,REVCNT
5975,0,RPM
5976,0,TPS
5976,109,MAP
5994,0,REVCNT
5996,0,RPM
5997,0,TPS
5997,109,MAP
6018,494,ACC1X
6021,520,ACC1Y
6022,603,ACC1Z
6022,0,CHIP1T
6038,0,REVCNT
6041,0,RPM
6042,0,TPS
6042,109,MAP
6060,0,REVCNT
6063,0,RPM
6064,0,TPS
6064,109,MAP
6085,0,REVCNT
6088,0,RPM
6089,0,TPS
6089,109,MAP
6108,0,REVCNT
6111,0,RPM
6111,0,TPS
6112,109,MAP
6131,494,ACC1X
6134,520,ACC1Y
6134,602,ACC1Z
6135,0,CHIP1T
6152,0,REVCNT
6155,0,RPM
6155,0,TPS
6159,109,MAP
6177,0,REVCNT
6180,0,RPM
6180,0,TPS
6180,109,MAP
6203,0,REVCNT
6206,0,RPM
6206,0,TPS
6207,109,MAP
6224,0,REVCNT
6227,0,RPM
6227,0,TPS
6228,109,MAP
6248,494,ACC1X
6251,520,ACC1Y
6252,603,ACC1Z
6252,0,CHIP1T
6268,0,REVCNT
6272,0,RPM
6273,0,TPS
6273,109,MAP
6290,0,REVCNT
6293,0,RPM
6294,0,TPS
6294,109,MAP
6317,0,REVCNT
6320,0,RPM
6320,0,TPS
6321,109,MAP
6338,0,REVCNT
6341,0,RPM
6341,0,TPS
6342,109,MAP
6362,494,ACC1X
6365,520,ACC1Y
6366,603,ACC1Z
6366,0,CHIP1T
6388,0,REVCNT
6391,0,RPM
6391,0,TPS
6392,109,MAP
6410,0,REVCNT
6413,0,RPM
6414,0,TPS
6414,109,MAP
6436,0,REVCNT
6439,0,RPM
6439,0,TPS
6440,109,MAP
6458,0,REVCNT
6461,0,RPM
6461,0,TPS
6462,109,MAP
6481,494,ACC1X
6484,520,ACC1Y
6486,602,ACC1Z
6486,0,CHIP1T
6502,0,REVCNT
6505,0,RPM
6506,0,TPS
6506,109,MAP
6523,0,REVCNT
6526,0,RPM
6528,0,TPS
6528,109,MAP
6550,0,REVCNT
6552,0,RPM
6553,0,TPS
6553,109,MAP
6572,0,REVCNT
6575,0,RPM
6575,0,TPS
6576,109,MAP
6595,494,ACC1X
6601,520,ACC1Y
6602,603,ACC1Z
6603,0,CHIP1T
6619,0,REVCNT
6622,0,RPM
6623,0,TPS
6623,109,MAP
6641,0,REVCNT
6643,0,RPM
6644,0,TPS
6644,109,MAP
6667,0,REVCNT
6670,0,RPM
6671,0,TPS
6671,109,MAP
6688,0,REVCNT
6691,0,RPM
6692,0,TPS
6692,109,MAP
6712,494,ACC1X
6715,520,ACC1Y
6716,603,ACC1Z
6717,0,CHIP1T
6733,0,REVCNT
6736,0,RPM
6736,0,TPS
6736,109,MAP
6755,0,REVCNT
6758,0,RPM
6758,0,TPS
6758,109,MAP
6780,0,REVCNT
6784,0,RPM
6784,0,TPS
6785,109,MAP
6802,0,REVCNT
6805,0,RPM
6806,0,TPS
6812,109,MAP
6832,494,ACC1X
6835,520,ACC1Y
6835,602,ACC1Z
6836,0,CHIP1T
6852,0,REVCNT
6855,0,RPM
6855,0,TPS
6856,109,MAP
6874,0,REVCNT
6877,0,RPM
6877,0,TPS
6878,109,MAP
6899,0,REVCNT
6902,0,RPM
6903,0,TPS
6903,109,MAP
6922,0,REVCNT
6925,0,RPM
6925,0,TPS
6925,109,MAP
6945,495,ACC1X
6948,520,ACC1Y
6948,602,ACC1Z
6949,0,CHIP1T
6966,0,REVCNT
6969,0,RPM
6969,0,TPS
6970,109,MAP
6987,0,REVCNT
6990,0,RPM
6990,0,TPS
6991,109,MAP
7013,0,REVCNT
7016,0,RPM
7017,0,TPS
7017,109,MAP
7038,0,REVCNT
7042,0,RPM
7043,0,TPS
7043,109,MAP
7062,494,ACC1X
7065,520,ACC1Y
7066,602,ACC1Z
7067,0,CHIP1T
7084,0,REVCNT
7087,0,RPM
7087,0,TPS
7087,109,MAP
7105,0,REVCNT
7108,0,RPM
7108,0,TPS
7109,109,MAP
7131,0,REVCNT
7134,0,RPM
7134,0,TPS
7135,109,MAP
7152,0,REVCNT
7155,0,RPM
7156,0,TPS
7156,109,MAP
7176,494,ACC1X
7179,520,ACC1Y
7180,603,ACC1Z
