Time Diff, Data, meas

8183,494,ACC1X
8186,520,ACC1Y
8187,605,ACC1Z
8187,0,CHIP1T
8209,0,REVCNT
8212,0,RPM
8212,0,TPS
8213,109,MAP
8230,0,REVCNT
8233,0,RPM
8235,0,TPS
8235,0,MAP
8257,0,REVCNT
8259,0,RPM
8260,0,TPS
8261,106,MAP
8279,0,REVCNT
8281,0,RPM
8282,0,TPS
8282,107,MAP
8301,494,ACC1X
8304,520,ACC1Y
8305,604,ACC1Z
8305,0,CHIP1T
8322,0,REVCNT
8325,0,RPM
8326,0,TPS
8326,107,MAP
8343,0,REVCNT
8346,0,RPM
8346,0,TPS
8347,108,MAP
8369,0,REVCNT
8372,0,RPM
8372,0,TPS
8373,108,MAP
8396,0,REVCNT
8398,0,RPM
8399,0,TPS
8399,108,MAP
8419,494,ACC1X
8422,520,ACC1Y
8423,604,ACC1Z
8424,0,CHIP1T
8439,0,REVCNT
8442,0,RPM
8443,0,TPS
8443,109,MAP
8461,0,REVCNT
8464,0,RPM
8465,0,TPS
8465,109,MAP
8499,0,REVCNT
8502,0,RPM
8503,0,TPS
8503,109,MAP
8520,0,REVCNT
8523,0,RPM
8524,0,TPS
8524,109,MAP
8545,494,ACC1X
8548,520,ACC1Y
8549,604,ACC1Z
8549,0,CHIP1T
8565,0,REVCNT
8568,0,RPM
8569,0,TPS
8569,109,MAP
8587,0,REVCNT
8590,0,RPM
8591,0,TPS
8591,109,MAP
8613,0,REVCNT
8620,0,RPM
8621,0,TPS
8621,109,MAP
8639,0,REVCNT
8642,0,RPM
8642,0,TPS
8642,109,MAP
8663,494,ACC1X
8666,520,ACC1Y
8666,604,ACC1Z
8667,0,CHIP1T
8683,0,REVCNT
8686,0,RPM
8686,0,TPS
8687,109,MAP
8705,0,REVCNT
8708,0,RPM
8708,0,TPS
8709,109,MAP
8730,0,REVCNT
8733,0,RPM
8734,0,TPS
8734,109,MAP
8752,0,REVCNT
8755,0,RPM
8756,0,TPS
8756,109,MAP
8775,495,ACC1X
8778,520,ACC1Y
8779,604,ACC1Z
8780,0,CHIP1T
8797,0,REVCNT
8800,0,RPM
8800,0,TPS
8800,109,MAP
8818,0,REVCNT
8821,0,RPM
8827,0,TPS
8827,109,MAP
8850,0,REVCNT
8853,0,RPM
8853,0,TPS
8854,109,MAP
8871,0,REVCNT
8875,0,RPM
8875,0,TPS
8876,109,MAP
8895,494,ACC1X
8898,520,ACC1Y
8899,604,ACC1Z
8899,0,CHIP1T
8915,0,REVCNT
8919,0,RPM
8919,0,TPS
8920,109,MAP
8937,0,REVCNT
8940,0,RPM
8940,0,TPS
8941,109,MAP
8964,0,REVCNT
8967,0,RPM
8967,0,TPS
8968,109,MAP
8985,0,REVCNT
8988,0,RPM
8988,0,TPS
8989,109,MAP
9009,494,ACC1X
9012,520,ACC1Y
9012,604,ACC1Z
9013,0,CHIP1T
9029,0,REVCNT
9032,0,RPM
9032,0,TPS
9036,109,MAP
9055,0,REVCNT
9058,0,RPM
9058,0,TPS
9059,109,MAP
9080,0,REVCNT
9083,0,RPM
9083,0,TPS
9084,109,MAP
9102,0,REVCNT
9105,0,RPM
9106,0,TPS
9106,109,MAP
9125,494,ACC1X
9128,520,ACC1Y
9129,604,ACC1Z
9129,0,CHIP1T
9146,0,REVCNT
9149,0,RPM
9150,0,TPS
9150,109,MAP
9167,0,REVCNT
9170,0,RPM
9171,0,TPS
9171,109,MAP
9194,0,REVCNT
9197,0,RPM
9197,0,TPS
9198,109,MAP
9216,0,REVCNT
9219,0,RPM
9219,0,TPS
9220,109,MAP
9239,494,ACC1X
9242,520,ACC1Y
9242,604,ACC1Z
9243,0,CHIP1T
9260,0,REVCNT
9260,0,RPM
9261,0,TPS
9261,109,MAP
9279,0,REVCNT
9282,0,RPM
9282,0,TPS
9283,109,MAP
9305,0,REVCNT
9308,0,RPM
9308,0,TPS
9309,109,MAP
9326,0,REVCNT
9329,0,RPM
9330,0,TPS
9330,109,MAP
9350,494,ACC1X
9353,520,ACC1Y
9354,604,ACC1Z
9354,0,CHIP1T
9370,0,REVCNT
9373,0,RPM
9374,0,TPS
9374,109,MAP
9392,0,REVCNT
9395,0,RPM
9396,0,TPS
9396,109,MAP
9417,0,REVCNT
9420,0,RPM
9421,0,TPS
9421,109,MAP
9440,0,REVCNT
9443,0,RPM
9443,0,TPS
9443,109,MAP
9462,494,ACC1X
