Time Diff, Data, meas
4872,604,ACC1Z
4872,0,CHIP1T
4888,0,REVCNT
4891,0,RPM
4892,0,TPS
4892,109,MAP
4910,0,REVCNT
4913,0,RPM
4914,0,TPS
4914,109,MAP
4936,0,REVCNT
4939,0,RPM
4939,0,TPS
4940,109,MAP
4958,0,REVCNT
4967,0,RPM
4968,0,TPS
4968,109,MAP
4988,493,ACC1X
4992,521,ACC1Y
4992,603,ACC1Z
4993,0,CHIP1T
5009,0,REVCNT
5012,0,RPM
5012,0,TPS
5013,109,MAP
5030,0,REVCNT
5033,0,RPM
5035,0,TPS
5035,109,MAP
5057,0,REVCNT
5060,0,RPM
5060,0,TPS
5061,109,MAP
5079,0,REVCNT
5082,0,RPM
5082,0,TPS
5083,109,MAP
5102,493,ACC1X
5105,521,ACC1Y
5106,604,ACC1Z
5106,0,CHIP1T
5123,0,REVCNT
5126,0,RPM
5127,0,TPS
5127,109,MAP
5144,0,REVCNT
5147,0,RPM
5148,0,TPS
5148,109,MAP
5171,0,REVCNT
5174,0,RPM
5179,0,TPS
5179,108,MAP
5197,0,REVCNT
5200,0,RPM
5200,0,TPS
5200,109,MAP
5221,493,ACC1X
5224,521,ACC1Y
5224,603,ACC1Z
5225,0,CHIP1T
5241,0,REVCNT
5244,0,RPM
5244,0,TPS
5245,109,MAP
5263,0,REVCNT
5266,0,RPM
5266,0,TPS
5267,108,MAP
5288,0,REVCNT
5292,0,RPM
5293,0,TPS
5293,109,MAP
5310,0,REVCNT
5313,0,RPM
5314,0,TPS
5314,109,MAP
5334,493,ACC1X
5337,521,ACC1Y
5338,604,ACC1Z
5338,0,CHIP1T
5354,0,REVCNT
5357,0,RPM
5358,0,TPS
5358,109,MAP
5377,0,REVCNT
5379,0,RPM
5380,0,TPS
5386,109,MAP
5407,0,REVCNT
5410,0,RPM
5411,0,TPS
5411,109,MAP
5430,0,REVCNT
5433,0,RPM
5433,0,TPS
5434,109,MAP
5453,493,ACC1X
5456,521,ACC1Y
5457,603,ACC1Z
5457,0,CHIP1T
5474,0,REVCNT
5477,0,RPM
5478,0,TPS
5478,109,MAP
5495,0,REVCNT
5498,0,RPM
5499,0,TPS
5499,108,MAP
5522,0,REVCNT
5525,0,RPM
5525,0,TPS
5526,109,MAP
5543,0,REVCNT
5547,0,RPM
5547,0,TPS
5548,108,MAP
5567,493,ACC1X
5570,521,ACC1Y
5571,603,ACC1Z
5571,0,CHIP1T
5587,0,REVCNT
5591,0,RPM
5592,0,TPS
5592,109,MAP
5613,0,REVCNT
5616,0,RPM
5616,0,TPS
5617,109,MAP
5640,0,REVCNT
5642,0,RPM
5643,0,TPS
5643,109,MAP
5661,0,REVCNT
5664,0,RPM
5664,0,TPS
5665,109,MAP
5685,494,ACC1X
5688,521,ACC1Y
5689,604,ACC1Z
5689,0,CHIP1T
5705,0,REVCNT
5708,0,RPM
5708,0,TPS
5709,109,MAP
5727,0,REVCNT
5730,0,RPM
5731,0,TPS
5731,109,MAP
5754,0,REVCNT
5757,0,RPM
5757,0,TPS
5758,109,MAP
5776,0,REVCNT
5779,0,RPM
5779,0,TPS
5780,108,MAP
5799,493,ACC1X
5803,521,ACC1Y
5804,603,ACC1Z
5804,0,CHIP1T
5820,0,REVCNT
5829,0,RPM
5829,0,TPS
5830,109,MAP
5848,0,REVCNT
5851,0,RPM
5851,0,TPS
5852,109,MAP
5873,0,REVCNT
5876,0,RPM
5877,0,TPS
5877,109,MAP
5896,0,REVCNT
5899,0,RPM
5899,0,TPS
5899,109,MAP
5919,493,ACC1X
5922,521,ACC1Y
5923,603,ACC1Z
5923,0,CHIP1T
5944,0,REVCNT
5947,0,RPM
5948,0,TPS
5948,109,MAP
5965,0,REVCNT
5968,0,RPM
5969,0,TPS
5969,109,MAP
5992,0,REVCNT
5995,0,RPM
5996,0,TPS
5996,109,MAP
6014,0,REVCNT
6018,0,RPM
6018,0,TPS
6019,109,MAP
6038,493,ACC1X
6041,521,ACC1Y
6042,604,ACC1Z
6046,0,CHIP1T
6063,0,REVCNT
6066,0,RPM
6067,0,TPS
6067,109,MAP
6085,0,REVCNT
6087,0,RPM
6088,0,TPS
6088,109,MAP
6111,0,REVCNT
6114,0,RPM
6115,0,TPS
6115,109,MAP
6133,0,REVCNT
6136,0,RPM
6136,0,TPS
6137,109,MAP
6157,493,ACC1X
6160,521,ACC1Y
6161,603,ACC1Z
6161,0,CHIP1T
6177,0,REVCNT
6180,0,RPM
6181,0,TPS
6181,109,MAP
6200,0,REVCNT
6203,0,RPM
6203,0,TPS
6204,109,MAP
6225,0,REVCNT
6228,0,RPM
6230,0,TPS
6230,109,MAP
6248,0,REVCNT
6251,0,RPM
6251,0,TPS
6252,109,MAP
6278,493,ACC1X
6281,520,ACC1Y
6281,603,ACC1Z
6282,0,CHIP1T
6298,0,REVCNT
6301,0,RPM
6302,0,TPS
6302,109,MAP
6320,0,REVCNT
6323,0,RPM
6324,0,TPS
6324,109,MAP
6346,0,REVCNT
6349,0,RPM
6349,0,TPS
6350,109,MAP
6369,0,REVCNT
6371,0,RPM
6372,0,TPS
6372,109,MAP
6392,494,ACC1X
6395,516,ACC1Y
6395,604,ACC1Z
6396,0,CHIP1T
6413,0,REVCNT
6416,0,RPM
6416,0,TPS
6417,109,MAP
