Time Diff, Data, meas
7313,0,REVCNT
7316,0,RPM
7317,0,TPS
7317,109,MAP
7336,495,ACC1X
7340,521,ACC1Y
7341,605,ACC1Z
7341,0,CHIP1T
7357,0,REVCNT
7360,0,RPM
7361,0,TPS
7361,109,MAP
7378,0,REVCNT
7382,0,RPM
7388,0,TPS
7389,109,MAP
7411,0,REVCNT
7414,0,RPM
7414,0,TPS
7415,109,MAP
7433,0,REVCNT
7436,0,RPM
7437,0,TPS
7437,109,MAP
7456,495,ACC1X
7459,521,ACC1Y
7460,605,ACC1Z
7460,0,CHIP1T
7497,0,REVCNT
7500,0,RPM
7501,0,TPS
7501,109,MAP
7519,0,REVCNT
7522,0,RPM
7522,0,TPS
7523,109,MAP
7545,0,REVCNT
7548,0,RPM
7548,0,TPS
7549,109,MAP
7567,0,REVCNT
7570,0,RPM
7571,0,TPS
7571,109,MAP
7591,494,ACC1X
7595,520,ACC1Y
7595,605,ACC1Z
7596,0,CHIP1T
7612,0,REVCNT
7615,0,RPM
7615,0,TPS
7616,109,MAP
7638,0,REVCNT
7641,0,RPM
7641,0,TPS
7642,109,MAP
7663,0,REVCNT
7666,0,RPM
7667,0,TPS
7667,109,MAP
7686,0,REVCNT
7688,0,RPM
7689,0,TPS
7689,109,MAP
7708,495,ACC1X
7711,521,ACC1Y
7712,605,ACC1Z
7713,0,CHIP1T
7730,0,REVCNT
7732,0,RPM
7733,0,TPS
7733,109,MAP
7751,0,REVCNT
7754,0,RPM
7754,0,TPS
7755,109,MAP
7777,0,REVCNT
7780,0,RPM
7780,0,TPS
7781,109,MAP
7798,0,REVCNT
7801,0,RPM
7802,0,TPS
7802,109,MAP
7822,495,ACC1X
7825,520,ACC1Y
7826,605,ACC1Z
7826,0,CHIP1T
7842,0,REVCNT
7852,0,RPM
7852,0,TPS
7853,109,MAP
7870,0,REVCNT
7873,0,RPM
7874,0,TPS
7874,109,MAP
7897,0,SPPED1
7900,0,SPEED2
7901,0,BOH
7901,255,GRATTA_NEGRO
7919,0,REVCNT
7922,0,RPM
7922,0,TPS
7923,109,MAP
7943,496,ACC1X
7946,521,ACC1Y
7947,606,ACC1Z
7947,0,CHIP1T
7963,0,REVCNT
7966,0,RPM
7967,0,TPS
7967,109,MAP
7985,0,REVCNT
7988,0,RPM
7989,0,TPS
7989,109,MAP
8011,0,REVCNT
8014,0,RPM
8014,0,TPS
8015,109,MAP
8033,0,REVCNT
8036,0,RPM
8036,0,TPS
8037,109,MAP
8056,495,ACC1X
8064,521,ACC1Y
8064,605,ACC1Z
8065,0,CHIP1T
8081,0,REVCNT
8084,0,RPM
8084,0,TPS
8084,109,MAP
8102,0,REVCNT
8105,0,RPM
8105,0,TPS
8105,109,MAP
8128,0,REVCNT
8131,0,RPM
8131,0,TPS
8132,109,MAP
8150,0,REVCNT
8153,0,RPM
8154,0,TPS
8154,109,MAP
8173,495,ACC1X
8176,520,ACC1Y
8177,605,ACC1Z
8177,0,CHIP1T
8194,0,REVCNT
8197,0,RPM
8198,0,TPS
8198,109,MAP
8215,0,REVCNT
8218,0,RPM
8219,0,TPS
8219,109,MAP
8242,0,REVCNT
8245,0,RPM
8245,0,TPS
8246,109,MAP
8263,0,REVCNT
8266,0,RPM
8267,0,TPS
8273,109,MAP
8293,495,ACC1X
8296,520,ACC1Y
8297,605,ACC1Z
8297,0,CHIP1T
8313,0,REVCNT
8316,0,RPM
8317,0,TPS
8317,109,MAP
8335,0,REVCNT
8338,0,RPM
8339,0,TPS
8339,109,MAP
8361,0,REVCNT
8365,0,RPM
8365,0,TPS
8366,109,MAP
8383,0,REVCNT
8386,0,RPM
8387,0,TPS
8387,109,MAP
8407,495,ACC1X
8410,520,ACC1Y
8411,605,ACC1Z
8411,0,CHIP1T
8427,0,REVCNT
8430,0,RPM
8431,0,TPS
8431,109,MAP
8449,0,REVCNT
8452,0,RPM
8453,0,TPS
8453,109,MAP
8475,0,REVCNT
8478,0,RPM
8478,0,TPS
8479,109,MAP
8501,0,REVCNT
8503,0,RPM
8504,0,TPS
8504,109,MAP
8523,495,ACC1X
8526,520,ACC1Y
8527,605,ACC1Z
8528,0,CHIP1T
8545,0,REVCNT
8548,0,RPM
8548,0,TPS
8548,109,MAP
8566,0,REVCNT
8569,0,RPM
8569,0,TPS
8570,109,MAP
8593,0,REVCNT
8595,0,RPM
8596,0,TPS
8597,109,MAP
8614,0,REVCNT
8617,0,RPM
8617,0,TPS
8619,109,MAP
8638,495,ACC1X
8641,520,ACC1Y
8641,605,ACC1Z
8642,0,CHIP1T
8658,0,REVCNT
8662,0,RPM
8662,0,TPS
8663,109,MAP
8680,0,REVCNT
8683,0,RPM
8683,0,TPS
8684,109,MAP
8706,0,REVCNT
8715,0,RPM
8716,0,TPS
8716,109,MAP
8733,0,REVCNT
8736,0,RPM
8737,0,TPS
8737,109,MAP
8757,494,ACC1X
8760,521,ACC1Y
8761,605,ACC1Z
8761,0,CHIP1T
8777,0,REVCNT
8780,0,RPM
8781,0,TPS
8781,109,MAP
8799,0,REVCNT
8802,0,RPM
8803,0,TPS
8803,109,MAP
8826,0,REVCNT
8829,0,RPM
8829,0,TPS
8830,109,MAP
8848,0,REVCNT
8851,0,RPM
8851,0,TPS
8852,109,MAP
8871,494,ACC1X
8875,521,ACC1Y
8875,606,ACC1Z
8876,0,CHIP1T
8892,0,REVCNT
8895,0,RPM
8895,0,TPS
8896,109,MAP
8913,0,REVCNT
8916,0,RPM
8921,0,TPS
8922,109,MAP
8943,0,REVCNT
8946,0,RPM
8946,0,TPS
8947,109,MAP
8965,0,REVCNT
8968,0,RPM
8969,0,TPS
8969,109,MAP
8988,495,ACC1X
8991,521,ACC1Y
8992,605,ACC1Z
8992,0,CHIP1T
9009,0,REVCNT
9012,0,RPM
9013,0,TPS
9013,109,MAP
9031,0,REVCNT
9033,0,RPM
9034,0,TPS
9034,109,MAP
9057,0,REVCNT
9060,0,RPM
9060,0,TPS
9061,109,MAP
9078,0,REVCNT
9081,0,RPM
9081,0,TPS
9082,109,MAP
9102,495,ACC1X
9105,520,ACC1Y
9106,605,ACC1Z
9106,0,CHIP1T
9122,0,REVCNT
9125,0,RPM
9126,0,TPS
9133,109,MAP
9150,0,REVCNT
9153,0,RPM
9153,0,TPS
9154,109,MAP
9176,0,REVCNT
9179,0,RPM
9180,0,TPS
9180,109,MAP
9198,0,REVCNT
9200,0,RPM
9201,0,TPS
9201,109,MAP
9221,495,ACC1X
9224,520,ACC1Y
9225,605,ACC1Z
9226,0,CHIP1T
9242,0,REVCNT
9245,0,RPM
9245,0,TPS
9245,109,MAP
9264,0,REVCNT
9267,0,RPM
9267,0,TPS
9267,109,MAP
9290,0,REVCNT
9292,0,RPM
9293,0,TPS
9293,109,MAP
9312,0,REVCNT
9315,0,RPM
9315,0,TPS
9316,109,MAP
9335,495,ACC1X
9338,520,ACC1Y
9338,605,ACC1Z
9339,0,CHIP1T
9360,0,REVCNT
9362,0,RPM
9363,0,TPS
9363,109,MAP
9381,0,REVCNT
9384,0,RPM
9384,0,TPS
9385,109,MAP
9407,0,REVCNT
9410,0,RPM
9411,0,TPS
9411,109,MAP
9430,0,REVCNT
9432,0,RPM
9433,0,TPS
9433,109,MAP
9452,495,ACC1X
9455,521,ACC1Y
9456,605,ACC1Z
9457,0,CHIP1T
9474,0,REVCNT
9477,0,RPM
9477,0,TPS
9478,109,MAP
9495,0,REVCNT
9498,0,RPM
9498,0,TPS
9499,109,MAP
9521,0,REVCNT
9524,0,RPM
9524,0,TPS
9525,109,MAP
9542,0,REVCNT
9545,0,RPM
9546,0,TPS
9546,109,MAP
9566,495,ACC1X
9569,521,ACC1Y
9575,605,ACC1Z
9576,0,CHIP1T
9592,0,REVCNT
9595,0,RPM
9595,0,TPS
9596,109,MAP
9614,0,REVCNT
9617,0,RPM
9617,0,TPS
9618,109,MAP
9639,0,REVCNT
9643,0,RPM
9644,0,TPS
9644,109,MAP
9662,0,REVCNT
9665,0,RPM
9665,0,TPS
9665,109,MAP
9686,495,ACC1X
9689,521,ACC1Y
9689,605,ACC1Z
9690,0,CHIP1T
9706,0,REVCNT
9709,0,RPM
9709,0,TPS
9710,109,MAP
9728,0,REVCNT
9731,0,RPM
9731,0,TPS
9732,109,MAP
9753,0,REVCNT
9756,0,RPM
9756,0,TPS
9757,109,MAP
9775,0,REVCNT
9778,0,RPM
9779,0,TPS
9779,109,MAP
9802,495,ACC1X
9805,520,ACC1Y
9806,605,ACC1Z
9806,0,CHIP1T
9823,0,REVCNT
9826,0,RPM
9827,0,TPS
9827,109,MAP
9844,0,REVCNT
9847,0,RPM
9848,0,TPS
9848,109,MAP
9870,0,REVCNT
9873,0,RPM
9874,0,TPS
9874,109,MAP
9892,0,REVCNT
9894,0,RPM
9895,0,TPS
9895,109,MAP
9915,495,ACC1X
9918,520,ACC1Y
9919,605,ACC1Z
9920,0,CHIP1T
9936,0,REVCNT
9939,0,RPM
9939,0,TPS
9940,109,MAP
9958,0,REVCNT
9961,0,RPM
9961,0,TPS
9962,109,MAP
9984,0,REVCNT
9987,0,RPM
9988,0,TPS
9988,109,MAP
10006,0,REVCNT
10015,0,RPM
10015,0,TPS
10016,109,MAP
10036,494,ACC1X
10039,521,ACC1Y
10040,605,ACC1Z
10040,0,CHIP1T
10056,0,REVCNT
10059,0,RPM
10060,0,TPS
10060,109,MAP
10079,0,REVCNT
10082,0,RPM
10082,0,TPS
10083,109,MAP
10105,0,REVCNT
10108,0,RPM
10108,0,TPS
10109,109,MAP
10128,0,REVCNT
10131,0,RPM
10131,0,TPS
10132,109,MAP
10151,495,ACC1X
10155,520,ACC1Y
10156,605,ACC1Z
10156,0,CHIP1T
10172,0,REVCNT
10175,0,RPM
10176,0,TPS
10176,109,MAP
10194,0,REVCNT
10196,0,RPM
10198,0,TPS
10202,109,MAP
10224,0,REVCNT
10227,0,RPM
10228,0,TPS
10228,109,MAP
10247,0,REVCNT
10250,0,RPM
10250,0,TPS
10251,109,MAP
10270,495,ACC1X
10273,521,ACC1Y
10273,605,ACC1Z
10274,0,CHIP1T
10291,0,REVCNT
10294,0,RPM
10295,0,TPS
10295,109,MAP
10315,0,REVCNT
10318,0,RPM
10318,0,TPS
10319,109,MAP
10344,0,REVCNT
10347,0,RPM
10347,0,TPS
10348,109,MAP
10365,0,REVCNT
10369,0,RPM
10369,0,TPS
10370,109,MAP
10389,495,ACC1X
10393,520,ACC1Y
10393,605,ACC1Z
10394,0,CHIP1T
10411,0,REVCNT
10414,0,RPM
10420,0,TPS
10421,109,MAP
10438,0,REVCNT
10441,0,RPM
10442,0,TPS
10442,109,MAP
10465,0,REVCNT
10468,0,RPM
10468,0,TPS
10469,109,MAP
10486,0,REVCNT
10489,0,RPM
10490,0,TPS
10490,109,MAP
10511,495,ACC1X
10514,521,ACC1Y
10514,605,ACC1Z
10515,0,CHIP1T
10531,0,REVCNT
10534,0,RPM
10535,0,TPS
10535,109,MAP
10553,0,REVCNT
10556,0,RPM
10557,0,TPS
10557,109,MAP
10579,0,REVCNT
10583,0,RPM
10584,0,TPS
10584,109,MAP
10602,0,REVCNT
10605,0,RPM
10605,0,TPS
10606,109,MAP
10626,495,ACC1X
10633,521,ACC1Y
10633,605,ACC1Z
10634,0,CHIP1T
10650,0,REVCNT
10653,0,RPM
10653,0,TPS
10654,109,MAP
10672,0,REVCNT
10675,0,RPM
10676,0,TPS
10676,109,MAP
10698,0,REVCNT
10701,0,RPM
10701,0,TPS
10702,109,MAP
10720,0,REVCNT
10723,0,RPM
10724,0,TPS
10724,109,MAP
10744,495,ACC1X
10747,521,ACC1Y
10747,605,ACC1Z
